,precision,recall,f1-score,support
feature request,0.9980,0.9980,0.9980,526.0000
bug report,0.9960,0.9980,0.9970,469.0000
rating,0.9970,0.9680,0.9830,378.0000
user experience,1.0000,0.9920,0.9960,1037.0000
micro avg,0.9980,0.9910,0.9950,2410.0000
macro avg,0.9980,0.9890,0.9930,2410.0000
weighted avg,0.9980,0.9910,0.9950,2410.0000
samples avg,0.8610,0.8570,0.8580,2410.0000
