,precision,recall,f1-score,support
feature request,0.9960,0.9980,0.9970,526.0000
bug report,0.9960,0.9980,0.9970,469.0000
rating,0.9970,0.9630,0.9800,378.0000
user experience,0.9990,0.9850,0.9920,1037.0000
micro avg,0.9970,0.9870,0.9920,2410.0000
macro avg,0.9970,0.9860,0.9910,2410.0000
weighted avg,0.9970,0.9870,0.9920,2410.0000
samples avg,0.8580,0.8530,0.8540,2410.0000
