,precision,recall,f1-score,support
bug report,1.0000,0.9900,0.9950,100.0000
feature request,0.9865,0.9733,0.9799,150.0000
rating,0.9960,0.9840,0.9899,250.0000
user experience,0.9804,1.0000,0.9901,300.0000
accuracy,0.9888,0.9888,0.9888,0.9888
macro avg,0.9907,0.9868,0.9887,800.0000
weighted avg,0.9888,0.9888,0.9887,800.0000
