,precision,recall,f1-score,support
bug report,0.9901,1.0000,0.9950,100.0000
feature request,0.9868,0.9933,0.9900,150.0000
rating,1.0000,0.9840,0.9919,250.0000
user experience,0.9934,1.0000,0.9967,300.0000
accuracy,0.9938,0.9938,0.9938,0.9938
macro avg,0.9926,0.9943,0.9934,800.0000
weighted avg,0.9938,0.9938,0.9937,800.0000
