,precision,recall,f1-score,support
bug report,0.9016,0.8475,0.8737,400.0000
feature request,0.9801,0.9033,0.9402,600.0000
rating,0.9427,0.9050,0.9235,1000.0000
user experience,0.8917,0.9742,0.9311,1200.0000
accuracy,0.9234,0.9234,0.9234,0.9234
macro avg,0.9290,0.9075,0.9171,3200.0000
weighted avg,0.9254,0.9234,0.9232,3200.0000
