,precision,recall,f1-score,support
bug report,0.9645,0.8825,0.9217,400.0000
feature request,0.9982,0.9233,0.9593,600.0000
rating,0.9520,0.9520,0.9520,1000.0000
user experience,0.9304,0.9917,0.9601,1200.0000
accuracy,0.9528,0.9528,0.9528,0.9528
macro avg,0.9613,0.9374,0.9483,3200.0000
weighted avg,0.9541,0.9528,0.9526,3200.0000
