,precision,recall,f1-score,support
bug report,0.9524,0.9500,0.9512,400.0000
feature request,0.9449,0.9425,0.9437,400.0000
rating,0.9289,0.9150,0.9219,400.0000
user experience,0.8971,0.9150,0.9059,400.0000
accuracy,0.9306,0.9306,0.9306,0.9306
macro avg,0.9308,0.9306,0.9307,1600.0000
weighted avg,0.9308,0.9306,0.9307,1600.0000
