,precision,recall,f1-score,support
bug report,0.9364,0.9575,0.9468,400.0000
feature request,0.8964,0.9300,0.9129,400.0000
rating,0.9124,0.8850,0.8985,400.0000
user experience,0.9175,0.8900,0.9036,400.0000
accuracy,0.9156,0.9156,0.9156,0.9156
macro avg,0.9157,0.9156,0.9154,1600.0000
weighted avg,0.9157,0.9156,0.9154,1600.0000
