,precision,recall,f1-score,support
feature request,0.9500,0.9716,0.9607,176.0000
bug report,0.9643,0.9643,0.9643,140.0000
rating,0.8443,0.7055,0.7687,146.0000
user experience,0.9790,0.9396,0.9589,298.0000
micro avg,0.9464,0.9066,0.9261,760.0000
macro avg,0.9344,0.8952,0.9131,760.0000
weighted avg,0.9437,0.9066,0.9238,760.0000
samples avg,0.8542,0.8188,0.8248,760.0000
