,precision,recall,f1-score,support
feature request,0.9390,0.9565,0.9477,161.0000
bug report,0.9805,0.9438,0.9618,160.0000
rating,0.8868,0.7460,0.8103,126.0000
user experience,0.9599,0.9762,0.9680,294.0000
micro avg,0.9488,0.9258,0.9372,741.0000
macro avg,0.9416,0.9056,0.9219,741.0000
weighted avg,0.9474,0.9258,0.9354,741.0000
samples avg,0.8638,0.8496,0.8450,741.0000
