,precision,recall,f1-score,support
bug report,0.9304,0.8400,0.8829,175.0000
feature request,0.9030,0.8288,0.8643,146.0000
rating,0.7895,0.7143,0.7500,126.0000
user experience,0.8835,0.8484,0.8656,277.0000
micro avg,0.8824,0.8191,0.8496,724.0000
macro avg,0.8766,0.8079,0.8407,724.0000
weighted avg,0.8824,0.8191,0.8494,724.0000
samples avg,0.7796,0.7375,0.7369,724.0000
