,precision,recall,f1-score,support
bug report,0.8982,0.9036,0.9009,166.0000
feature request,0.9576,0.8561,0.9040,132.0000
rating,0.7969,0.7391,0.7669,138.0000
user experience,0.9301,0.8724,0.9004,290.0000
micro avg,0.9022,0.8512,0.8760,726.0000
macro avg,0.8957,0.8428,0.8680,726.0000
weighted avg,0.9025,0.8512,0.8758,726.0000
samples avg,0.8102,0.7867,0.7772,726.0000
