,precision,recall,f1-score,support
bug report,0.8485,0.8400,0.8442,100.0000
feature request,0.7087,0.9000,0.7930,100.0000
rating,0.8889,0.5600,0.6871,100.0000
user experience,0.6757,0.7500,0.7109,100.0000
accuracy,0.7625,0.7625,0.7625,0.7625
macro avg,0.7804,0.7625,0.7588,400.0000
weighted avg,0.7804,0.7625,0.7588,400.0000
