,precision,recall,f1-score,support
bug report,0.9900,0.9900,0.9900,100.0000
feature request,0.9604,0.9700,0.9652,100.0000
rating,0.9592,0.9400,0.9495,100.0000
user experience,0.9505,0.9600,0.9552,100.0000
accuracy,0.9650,0.9650,0.9650,0.9650
macro avg,0.9650,0.9650,0.9650,400.0000
weighted avg,0.9650,0.9650,0.9650,400.0000
