,precision,recall,f1-score,support
bug report,0.9800,0.9800,0.9800,50.0000
feature request,0.9865,0.9733,0.9799,75.0000
rating,0.9762,0.9840,0.9801,125.0000
user experience,0.9800,0.9800,0.9800,150.0000
accuracy,0.9800,0.9800,0.9800,0.9800
macro avg,0.9807,0.9793,0.9800,400.0000
weighted avg,0.9800,0.9800,0.9800,400.0000
